GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 11.4,Google Cloud BigQuery,All versions,,,,,
GDP,GDP 11.4,Google Cloud PostgreSQL,All versions,,yes,Classification via ISDC,,
GDP,GDP 11.4,Google Cloud MySQL,All Versions,,yes,Classification via ISDC,,
GDP,GDP 11.4,Google Cloud MSSQL,All Versions,,yes,Classification via ISDC,,
GDP,GDP 11.4,Google Cloud SQL,All versions,,yes,Classification via ISDC. Available for Google Kubernetes Engine (GKE).,,
GDP,GDP 11.4,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.4,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.4,MongoDB Atlas,5,,,,,
GDP,GDP 11.4,MongoDB Atlas,6,,,,,
GDP,GDP 11.4,Snowflake,All versions,yes,,,,
GDP,GDP 11.5,Google Cloud BigQuery,All versions,,,,,
GDP,GDP 11.5,Google Cloud PostgreSQL,All versions,,yes,Classification via ISDC,,
GDP,GDP 11.5,Google Cloud SQL,All versions,,yes,Classification via ISDC. Available for Google Kubernetes Engine (GKE).,,
GDP,GDP 11.5,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.5,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.5,MongoDB Atlas,5,,,,,
GDP,GDP 11.5,MongoDB Atlas,6,,,,,
GDP,GDP 11.5,Snowflake,All versions,yes,,,,
GDP,GDP 12.0,Google Cloud BigQuery,All versions,,,,,
GDP,GDP 12.0,Google Cloud PostgreSQL,All versions,,yes,,,
GDP,GDP 12.0,Google Cloud MySQL,All Versions,,yes,,,
GDP,GDP 12.0,Google Cloud MSSQL,All Versions,,yes,,,
GDP,GDP 12.0,Google Cloud SQL,All versions,,yes,Available for Google Kubernetes Engine (GKE).,,
GDP,GDP 12.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.0,MongoDB Atlas,5,,,,,
GDP,GDP 12.0,MongoDB Atlas,6,,,,,
GDP,GDP 12.0,Snowflake,All versions,yes,,,,
GDP,GDP 12.1,Google Cloud BigQuery,All versions,,,,,
GDP,GDP 12.1,Google Cloud PostgreSQL,All versions,,yes,,,
GDP,GDP 12.1,Google Cloud MySQL,All Versions,,yes,,,
GDP,GDP 12.1,Google Cloud MSSQL,All Versions,,yes,,,
GDP,GDP 12.1,Google Cloud SQL,All versions,,yes,Available for Google Kubernetes Engine (GKE).,,
GDP,GDP 12.1,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.1,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.1,MongoDB Atlas,5,,,,,
GDP,GDP 12.1,MongoDB Atlas,6,,,,,
GDP,GDP 12.1,Snowflake,All versions,yes,,,,
GDP,GDP 12.1,IBM DB2,All versions,yes,,,,
