GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 11.3.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.3.0,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.3.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.3.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.3.0,MongoDB Atlas,5,,,,,
GDP,GDP 11.3.0,MongoDB Atlas,6,,,,,
GDP,GDP 11.3.0,Snowflake,All versions,yes,,,,
GDP,GDP 11.4.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.4.0,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.4.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.4.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.4.0,MongoDB Atlas,5,,,,,
GDP,GDP 11.4.0,MongoDB Atlas,6,,,,,
GDP,GDP 11.4.0,Snowflake,All versions,yes,,,,
GDP,GDP 11.5.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.5.0,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.5.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.5.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.5.0,MongoDB Atlas,5,,,,,
GDP,GDP 11.5.0,MongoDB Atlas,6,,,,,
GDP,GDP 11.5.0,Snowflake,All versions,yes,,,,
GDP,GDP 12.0.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.0.0,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.0.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.0.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.0.0,MongoDB Atlas,5,,,,,
GDP,GDP 12.0.0,MongoDB Atlas,6,,,,,
GDP,GDP 12.0.0,Snowflake,All versions,yes,,,,
GI,GI 3.2.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GI,GI 3.2.0,MongoDB Atlas,4.2,,,,,
GI,GI 3.2.0,MongoDB Atlas,4.4,,,,,
GI,GI 3.2.0,MongoDB Atlas,5,,,,,
GI,GI 3.2.0,MongoDB Atlas,6,,,,,
GI,GI 3.2.6,Snowflake,All versions,yes,,,,
GI,GI 3.3.0,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GI,GI 3.3.0,MongoDB Atlas,4.2,,,,,
GI,GI 3.3.0,MongoDB Atlas,4.4,,,,,
GI,GI 3.3.0,MongoDB Atlas,5,,,,,
GI,GI 3.3.0,MongoDB Atlas,6,,,,,
GI,GI 3.3.0,Snowflake,All versions,yes,,,,
GI GI SaaS,GI SaaS,Azure SQL,all versions,yes,yes,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GI GI SaaS,GI SaaS,MongoDB Atlas,4.2,,,,,
GI GI SaaS,GI SaaS,MongoDB Atlas,4.4,,,,,
GI GI SaaS,GI SaaS,MongoDB Atlas,5,,,,,
GI GI SaaS,GI SaaS,MongoDB Atlas,6,,,,,
GI GI SaaS,GI SaaS,Snowflake,All versions,yes,,,,
